market regions/markets,total arrivals,year,quarter,month,Group2,total arrivals(daily),total arrivals_previous,Difference,,,,,,,
Australia,60607,2018,Q1,1,Australia,1955 ,58811,1796,,Australia,Australia,,,,
Australia,27172,2018,Q1,2,Australia,970 ,25649,1523,,Canada,G7,,,,
Australia,50533,2018,Q1,3,Australia,1630 ,48259,2274,,France,G7,,,,
Australia,60773,2018,Q2,4,Australia,2026 ,58997,1776,,GCC Markets,GCC Markets,,,,
Australia,44482,2018,Q2,5,Australia,1435 ,43110,1372,,Germany,G7,,,,`
Australia,43517,2018,Q2,6,Australia,1451 ,42521,996,,India,India,,,,
Australia,47894,2018,Q3,7,Australia,1545 ,47022,872,,Indonesia,ASEAN,,,,
Australia,41415,2018,Q3,8,Australia,1336 ,40084,1331,,Japan,G7,,,,
Australia,50987,2018,Q3,9,Australia,1700 ,49974,1013,,Macau SAR,Macau SAR,,,,
Australia,56899,2018,Q4,10,Australia,1835 ,55805,1094,,Mainland China,Mainland China,,,,
Australia,49765,2018,Q4,11,Australia,1659 ,48813,952,,Malaysia,ASEAN,,,,
Australia,61865,2018,Q4,12,Australia,1996 ,61122,743,,Middle East,Middle East,,,,
Australia,41047,2024,Q1,1,Australia,1324 ,41903,-856,,Netherlands,Netherlands,,,,
Australia,19764,2024,Q1,2,Australia,682 ,19963,-199,,Philippines,ASEAN,,,,
Australia,29919,2024,Q1,3,Australia,965 ,30565,-646,,Russia,Russia,,,,
Australia,33825,2024,Q2,4,Australia,1128 ,34280,-455,,Singapore,ASEAN,,,,
Australia,20971,2024,Q2,5,Australia,676 ,21249,-278,,South Korea,South Korea,,,,
Australia,21640,2024,Q2,6,Australia,721 ,22416,-776,,Taiwan,Taiwan,,,,
Australia,21287,2024,Q3,7,Australia,687 ,21924,-637,,Thailand,ASEAN,,,,
Australia,18426,2024,Q3,8,Australia,594 ,18569,-143,,United Kingdom,G7,,,,
Australia,34866,2024,Q3,9,Australia,1162 ,35937,-1071,,USA,G7,,,,
Australia,39655,2024,Q4,10,Australia,1279 ,,,,Vietnam,ASEAN,,,,
Australia,37667,2024,Q4,11,Australia,1256 ,,,,,,,,,
Australia,51790,2024,Q4,12,Australia,1671 ,,,,,,,,,
Australia,53523,2025,Q1,1,Australia,1727 ,,,,,,,,,
Australia,27739,2025,Q1,2,Australia,991 ,,,,,,,,,
Australia,38869,2025,Q1,3,Australia,1254 ,,,,,,,,,
Australia,46330,2025,Q2,4,Australia,1544 ,,,,,,,,,
Australia,29282,2025,Q2,5,Australia,945 ,,,,,,,,,
Australia,27098,2025,Q2,6,Australia,903 ,,,,,,,,,
Australia,28875,2025,Q3,7,Australia,931 ,,,,,,,,,
Australia,20936,2025,Q3,8,Australia,675 ,,,,,,,,,
Canada,33596,2018,Q1,1,G7,1084 ,32330,1266,,,,,,,
Canada,28534,2018,Q1,2,G7,1019 ,27250,1284,,,,,,,
Canada,44471,2018,Q1,3,G7,1435 ,42708,1763,,,,,,,
Canada,36583,2018,Q2,4,G7,1219 ,34789,1794,,,,,,,
Canada,32066,2018,Q2,5,G7,1034 ,31135,931,,,,,,,
Canada,24473,2018,Q2,6,G7,816 ,23147,1326,,,,,,,
Canada,28797,2018,Q3,7,G7,929 ,27094,1703,,,,,,,
Canada,27938,2018,Q3,8,G7,901 ,26377,1561,,,,,,,
Canada,23405,2018,Q3,9,G7,780 ,22159,1246,,,,,,,
Canada,34999,2018,Q4,10,G7,1129 ,33183,1816,,,,,,,
Canada,42619,2018,Q4,11,G7,1421 ,41083,1536,,,,,,,
Canada,38730,2018,Q4,12,G7,1249 ,36737,1993,,,,,,,
Canada,23796,2024,Q1,1,G7,768 ,23411,385,,,,,,,
Canada,22473,2024,Q1,2,G7,775 ,21919,554,,,,,,,
Canada,31780,2024,Q1,3,G7,1025 ,31341,439,,,,,,,
Canada,28348,2024,Q2,4,G7,945 ,28329,19,,,,,,,
Canada,25074,2024,Q2,5,G7,809 ,24588,486,,,,,,,
Canada,21261,2024,Q2,6,G7,709 ,20773,488,,,,,,,
Canada,25341,2024,Q3,7,G7,817 ,24889,452,,,,,,,
Canada,23368,2024,Q3,8,G7,754 ,22365,1003,,,,,,,
Canada,20397,2024,Q3,9,G7,680 ,19923,474,,,,,,,
Canada,31798,2024,Q4,10,G7,1026 ,,,,,,,,,
Canada,35722,2024,Q4,11,G7,1191 ,,,,,,,,,
Canada,31273,2024,Q4,12,G7,1009 ,,,,,,,,,
Canada,26387,2025,Q1,1,G7,851 ,,,,,,,,,
Canada,24959,2025,Q1,2,G7,891 ,,,,,,,,,
Canada,37963,2025,Q1,3,G7,1225 ,,,,,,,,,
Canada,29142,2025,Q2,4,G7,971 ,,,,,,,,,
Canada,27645,2025,Q2,5,G7,892 ,,,,,,,,,
Canada,20391,2025,Q2,6,G7,680 ,,,,,,,,,
Canada,27440,2025,Q3,7,G7,885 ,,,,,,,,,
Canada,28496,2025,Q3,8,G7,919 ,,,,,,,,,
France,17132,2018,Q1,1,G7,553 ,15102,2030,,,,,,,
France,14236,2018,Q1,2,G7,508 ,12210,2026,,,,,,,
France,22025,2018,Q1,3,G7,710 ,19157,2868,,,,,,,
France,25100,2018,Q2,4,G7,837 ,22779,2321,,,,,,,
France,19732,2018,Q2,5,G7,637 ,17708,2024,,,,,,,
France,14807,2018,Q2,6,G7,494 ,12840,1967,,,,,,,
France,16597,2018,Q3,7,G7,535 ,15124,1473,,,,,,,
France,18875,2018,Q3,8,G7,609 ,17410,1465,,,,,,,
France,14255,2018,Q3,9,G7,475 ,12545,1710,,,,,,,
France,24101,2018,Q4,10,G7,777 ,21386,2715,,,,,,,
France,23325,2018,Q4,11,G7,778 ,20425,2900,,,,,,,
France,17157,2018,Q4,12,G7,553 ,15164,1993,,,,,,,
France,9341,2024,Q1,1,G7,301 ,8816,525,,,,,,,
France,9689,2024,Q1,2,G7,334 ,9057,632,,,,,,,
France,12763,2024,Q1,3,G7,412 ,11926,837,,,,,,,
France,15542,2024,Q2,4,G7,518 ,14600,942,,,,,,,
France,11779,2024,Q2,5,G7,380 ,10841,938,,,,,,,
France,8591,2024,Q2,6,G7,286 ,7877,714,,,,,,,
France,10765,2024,Q3,7,G7,347 ,10357,408,,,,,,,
France,12161,2024,Q3,8,G7,392 ,11554,607,,,,,,,
France,9440,2024,Q3,9,G7,315 ,8732,708,,,,,,,
France,16513,2024,Q4,10,G7,533 ,,,,,,,,,
France,16225,2024,Q4,11,G7,541 ,,,,,,,,,
France,11842,2024,Q4,12,G7,382 ,,,,,,,,,
France,10420,2025,Q1,1,G7,336 ,,,,,,,,,
France,11451,2025,Q1,2,G7,409 ,,,,,,,,,
France,14263,2025,Q1,3,G7,460 ,,,,,,,,,
France,15888,2025,Q2,4,G7,530 ,,,,,,,,,
France,12497,2025,Q2,5,G7,403 ,,,,,,,,,
France,9321,2025,Q2,6,G7,311 ,,,,,,,,,
France,12929,2025,Q3,7,G7,417 ,,,,,,,,,
France,15549,2025,Q3,8,G7,502 ,,,,,,,,,
Germany,19009,2018,Q1,1,G7,613 ,18212,797,,,,,,,
Germany,14655,2018,Q1,2,G7,523 ,13818,837,,,,,,,
Germany,27237,2018,Q1,3,G7,879 ,26432,805,,,,,,,
Germany,25537,2018,Q2,4,G7,851 ,24450,1087,,,,,,,
Germany,17136,2018,Q2,5,G7,553 ,16197,939,,,,,,,
Germany,13220,2018,Q2,6,G7,441 ,12455,765,,,,,,,
Germany,14544,2018,Q3,7,G7,469 ,13965,579,,,,,,,
Germany,15294,2018,Q3,8,G7,493 ,14749,545,,,,,,,
Germany,17099,2018,Q3,9,G7,570 ,16359,740,,,,,,,
Germany,27059,2018,Q4,10,G7,873 ,25950,1109,,,,,,,
Germany,26164,2018,Q4,11,G7,872 ,24993,1171,,,,,,,
